,,id,name,pseudopath,beginPosition,footprint,size,offline
0,10,b18b07d0-e486-43cb-b863-a767cd462881,S3B_SY_2_SYN____20200720T091845_20200720T092145_20200721T223337_0179_041_207_2160_LN2_O_NT_002.zip,OPTICAL/LEVEL-2/2020/07/20,2020-07-20T09:18:44.645Z,"MULTIPOLYGON (((20.758 39.5505,21.8067 42.1483,22.9402 44.741,24.1711 47.3233,25.5187 49.8916,24.6074 50.0983,23.6861 50.2943,22.7622 50.4846,21.8407 50.6636,20.9024 50.8391,19.9561 51.0072,18.9882 51.1689,18.0291 51.3214,17.0617 51.4663,16.101 51.6087,15.1233 51.7349,14.1437 51.8553,13.1438 51.9697,12.1446 52.0742,11.1473 52.1698,10.1486 52.2567,9.14156 52.3355,8.12735 52.4061,7.13251 52.46,6.73589 49.8402,6.33393 47.2184,5.9254 44.5956,5.51209 41.9759,6.33104 41.9065,7.15329 41.8242,7.978 41.7355,8.80173 41.6408,9.62065 41.5406,10.4357 41.4348,11.2583 41.3211,12.0686 41.2035,12.8746 41.0832,13.6722 40.9485,14.473 40.8143,15.2716 40.6744,16.079 40.528,16.8671 40.3779,17.6543 40.222,18.4265 40.0651,19.2071 39.8985,19.9844 39.7291,20.758 39.5505)))",907035951.0,False
0,11,7ba4a267-454e-4bb7-8f36-33f82d008aa7,S3B_SY_2_SYN____20200721T085234_20200721T085534_20200721T215719_0179_041_221_2160_LN2_O_ST_002.zip,OPTICAL/LEVEL-2/2020/07/21,2020-07-21T08:52:33.742Z,"MULTIPOLYGON (((27.3039 39.5515,28.3526 42.1492,29.4858 44.7424,30.7169 47.3241,32.0645 49.8926,31.1539 50.0992,30.2322 50.2953,29.308 50.4856,28.3863 50.6647,27.4481 50.8401,26.5017 51.0083,25.5338 51.1699,24.5747 51.3224,23.6078 51.4672,22.6468 51.6097,21.6692 51.7359,20.6906 51.8561,19.6898 51.9706,18.6903 52.0752,17.6914 52.1709,16.6942 52.2576,15.6877 52.3364,14.6726 52.407,13.6779 52.4609,13.2814 49.8409,12.879 47.2193,12.471 44.5964,12.0577 41.977,12.8855 41.9067,13.7213 41.8229,14.5339 41.7354,15.3485 41.6418,16.1665 41.5417,16.9816 41.4359,17.8041 41.3222,18.6144 41.2046,19.4203 41.0842,20.2202 40.9492,21.0218 40.8148,21.8182 40.6754,22.6242 40.5292,23.413 40.379,24.2001 40.2231,24.9726 40.0661,25.7529 39.8996,26.529 39.7305,27.3039 39.5515)))",906341928.0,False
0,12,1c3c902c-1da8-4eb8-9801-8733e2bbf924,S3A_SY_2_SYN____20200720T095811_20200720T100111_20200722T000824_0179_060_350_2160_LN2_O_NT_002.zip,OPTICAL/LEVEL-2/2020/07/20,2020-07-20T09:58:11.126Z,"MULTIPOLYGON (((10.9225 39.5409,11.9694 42.1363,13.1015 44.7296,14.3313 47.3118,15.678 49.8789,14.7661 50.0843,13.8491 50.2818,12.923 50.4723,11.9938 50.6536,11.0566 50.8314,10.1098 50.9994,9.15921 51.1623,8.19693 51.3127,7.23248 51.4574,6.2569 51.5897,5.2778 51.7186,4.29581 51.8389,3.30919 51.9507,2.31625 52.0544,1.31845 52.1498,0.321259 52.2363,-0.0 52.2613623382424,-0.686267 52.3149,-1.69347 52.3847,-2.70322 52.4462,-3.10017 49.8269,-3.50161 47.2053,-3.90894 44.5824,-4.32135 41.9655,-3.47433 41.8868,-2.64952 41.8043,-1.82998 41.7164,-1.02001 41.6235,-0.201185 41.5235,-0.0 41.4974214517231,0.612703 41.418,1.42435 41.3069,2.22896 41.1903,3.03602 41.0673,3.84138 40.9435,4.64166 40.8092,5.44069 40.6718,6.23441 40.5239,7.02358 40.3738,7.81034 40.2155,8.59625 40.0551,9.37145 39.8898,10.1517 39.7174,10.9225 39.5409)))",877715670.0,False
0,13,d2a99d9b-de13-4897-8010-47d46da1da65,S3B_SY_2_SYN____20200721T103633_20200721T103933_20200721T220555_0180_041_222_2340_LN2_O_ST_002.zip,OPTICAL/LEVEL-2/2020/07/21,2020-07-21T10:36:32.925Z,"MULTIPOLYGON (((-1.53383 29.0727,-0.712849 31.6951,0.0 33.8479132327084,0.156187 34.3196,1.0756 36.9379,2.05656 39.549,1.28281 39.7277,0.505541 39.8971,-0.0 40.0050069184427,-0.275444 40.0638,-1.04832 40.2208,-1.83411 40.3765,-2.62168 40.5265,-3.42856 40.6728,-4.2252 40.8124,-5.02495 40.9464,-5.82193 41.0811,-6.62753 41.2014,-7.43704 41.319,-8.26047 41.4328,-9.08033 41.5393,-9.89924 41.6395,-10.7229 41.7342,-11.5476 41.8229,-12.3698 41.9052,-13.189 41.9747,-13.61 39.3481,-14.0359 36.7214,-14.4703 34.0921,-14.9095 31.4698,-14.2035 31.3863,-13.481 31.2899,-12.7633 31.1899,-12.0516 31.0866,-11.3326 30.9781,-10.6219 30.8668,-9.9042 30.7494,-9.19298 30.6294,-8.48514 30.5085,-7.78702 30.3757,-7.08662 30.2455,-6.38801 30.1116,-5.67721 29.9723,-4.98146 29.8308,-4.28582 29.6853,-3.60469 29.5409,-2.91235 29.3881,-2.22393 29.2346,-1.53383 29.0727)))",581429838.0,False
0,14,63579dcc-934b-42db-b4a1-bd5a0b4332f3,S3A_SY_2_SYN____20200721T093500_20200721T093800_20200721T212330_0179_060_364_2340_LN2_O_ST_002.zip,OPTICAL/LEVEL-2/2020/07/21,2020-07-21T09:35:00.172Z,"MULTIPOLYGON (((13.8775 29.0571,14.6982 31.6836,15.5668 34.3061,16.4855 36.9257,17.4656 39.5363,16.6949 39.7127,15.9168 39.8847,15.1398 40.0504,14.3536 40.2108,13.5669 40.3691,12.7778 40.5192,11.9841 40.6671,11.1851 40.8045,10.3848 40.9387,9.57948 41.0626,8.77242 41.1856,7.96416 41.3026,7.15334 41.4137,6.33815 41.5193,5.51947 41.6192,4.6955 41.7136,3.87701 41.8013,3.05484 41.8834,2.22276 41.9607,1.8022 39.3345,1.37691 36.7069,0.94218 34.079,0.503786 31.4537,1.2342 31.3602,1.9508 31.2648,2.66204 31.166,3.37774 31.0624,4.08439 30.956,4.79478 30.8449,5.50647 30.7296,6.21207 30.6107,6.92083 30.4873,7.62536 30.3653,8.32912 30.2343,9.02959 30.1026,9.72637 29.9621,10.4228 29.8206,11.1181 29.6727,11.8113 29.525,12.5017 29.3727,13.1896 29.217,13.8775 29.0571)))",567395356.0,False
0,15,b8da48e4-7598-4444-b7c7-0f5e33c38882,S3A_SY_2_SYN____20200721T093200_20200721T093500_20200721T212311_0179_060_364_2160_LN2_O_ST_002.zip,OPTICAL/LEVEL-2/2020/07/21,2020-07-21T09:32:00.172Z,"MULTIPOLYGON (((17.4666 39.5388,18.5143 42.1366,19.6465 44.7293,20.8765 47.3116,22.2226 49.8798,21.3107 50.0852,20.3942 50.2825,19.4686 50.4729,18.5385 50.6543,17.6009 50.8321,16.654 51.0001,15.7034 51.1629,14.7396 51.3136,13.7764 51.458,12.8016 51.5901,11.8223 51.7189,10.8421 51.8391,9.85409 51.9509,8.862 52.0545,7.86979 52.1493,6.86432 52.2366,5.8563 52.3152,4.84714 52.385,3.84081 52.4463,3.44505 49.8267,3.04352 47.205,2.63588 44.5824,2.22317 41.9633,3.05548 41.8859,3.87748 41.8039,4.696 41.7162,5.52001 41.6218,6.33872 41.5218,7.15394 41.4162,7.9648 41.3052,8.77309 41.1881,9.58018 41.0652,10.3855 40.9413,11.1858 40.8071,11.9849 40.6697,12.7786 40.5218,13.5678 40.3717,14.3545 40.2134,15.1407 40.0529,15.9176 39.8873,16.6959 39.7153,17.4666 39.5388)))",767994706.0,False
0,16,2e04c147-dfa5-479d-aac6-9316fcb06287,S3B_SY_2_SYN____20200721T085534_20200721T085834_20200721T215740_0179_041_221_2340_LN2_O_ST_002.zip,OPTICAL/LEVEL-2/2020/07/21,2020-07-21T08:55:33.742Z,"MULTIPOLYGON (((23.7114 29.0706,24.534 31.6946,25.4022 34.3195,26.3223 36.9378,27.3029 39.549,26.528 39.7279,25.752 39.897,24.9716 40.0636,24.1992 40.2205,23.4121 40.3764,22.6234 40.5267,21.8174 40.6728,21.0213 40.8122,20.2194 40.9466,19.4196 41.0817,18.6137 41.202,17.8035 41.3196,16.981 41.4333,16.1659 41.5391,15.3479 41.6392,14.5332 41.7329,13.72 41.8204,12.8847 41.9042,12.0573 41.9744,11.6367 39.3481,11.21 36.7207,10.7765 34.0912,10.3361 31.468,11.0556 31.3827,11.7709 31.2871,12.4875 31.1872,13.2033 31.0833,13.9146 30.9759,14.6247 30.8646,15.3413 30.7474,16.0495 30.6279,16.7572 30.5071,17.4519 30.3749,18.1554 30.2441,18.8554 30.1099,19.5674 29.9704,20.2638 29.8288,20.96 29.6831,21.6416 29.5386,22.3342 29.3856,23.0228 29.2321,23.7114 29.0706)))",408634866.0,False
0,17,4aaed1af-81c7-4c61-afb4-3115e7da6941,S3B_SY_2_SYN____20200721T103633_20200721T103933_20200723T004611_0180_041_222_2340_LN2_O_NT_002.zip,OPTICAL/LEVEL-2/2020/07/21,2020-07-21T10:36:32.925Z,"MULTIPOLYGON (((-1.53383 29.0727,-0.712849 31.6951,0.0 33.8479132327084,0.156187 34.3196,1.0756 36.9379,2.05656 39.549,1.28281 39.7277,0.505541 39.8971,-0.0 40.0050069184427,-0.275444 40.0638,-1.04832 40.2208,-1.83411 40.3765,-2.62168 40.5265,-3.42856 40.6728,-4.2252 40.8124,-5.02495 40.9464,-5.82193 41.0811,-6.62753 41.2014,-7.43704 41.319,-8.26047 41.4328,-9.08033 41.5393,-9.89924 41.6395,-10.7229 41.7342,-11.5476 41.8229,-12.3698 41.9052,-13.189 41.9747,-13.61 39.3481,-14.0359 36.7214,-14.4703 34.0921,-14.9095 31.4698,-14.2035 31.3863,-13.481 31.2899,-12.7633 31.1899,-12.0516 31.0866,-11.3326 30.9781,-10.6219 30.8668,-9.9042 30.7494,-9.19298 30.6294,-8.48514 30.5085,-7.78702 30.3757,-7.08662 30.2455,-6.38801 30.1116,-5.67721 29.9723,-4.98146 29.8308,-4.28582 29.6853,-3.60469 29.5409,-2.91235 29.3881,-2.22393 29.2346,-1.53383 29.0727)))",655546139.0,False
0,18,8f83dc54-92cd-40a4-9cf3-88f88ce7cf7b,S3B_SY_2_SYN____20200721T085534_20200721T085834_20200723T000607_0179_041_221_2340_LN2_O_NT_002.zip,OPTICAL/LEVEL-2/2020/07/21,2020-07-21T08:55:33.742Z,"MULTIPOLYGON (((23.7114 29.0706,24.534 31.6946,25.4022 34.3195,26.3223 36.9378,27.3029 39.549,26.528 39.7279,25.752 39.897,24.9716 40.0636,24.1992 40.2205,23.4121 40.3764,22.6234 40.5267,21.8174 40.6728,21.0213 40.8122,20.2194 40.9466,19.4196 41.0817,18.6137 41.202,17.8035 41.3196,16.981 41.4333,16.1659 41.5391,15.3479 41.6392,14.5332 41.7329,13.72 41.8204,12.8847 41.9042,12.0573 41.9744,11.6367 39.3481,11.21 36.7207,10.7765 34.0912,10.3361 31.468,11.0556 31.3827,11.7709 31.2871,12.4875 31.1872,13.2033 31.0833,13.9146 30.9759,14.6247 30.8646,15.3413 30.7474,16.0495 30.6279,16.7572 30.5071,17.4519 30.3749,18.1554 30.2441,18.8554 30.1099,19.5674 29.9704,20.2638 29.8288,20.96 29.6831,21.6416 29.5386,22.3342 29.3856,23.0228 29.2321,23.7114 29.0706)))",481985666.0,False
0,19,c67dd951-b7bf-420d-a948-cedb5da7fa74,S3B_SY_2_SYN____20200721T085234_20200721T085534_20200723T000543_0179_041_221_2160_LN2_O_NT_002.zip,OPTICAL/LEVEL-2/2020/07/21,2020-07-21T08:52:33.742Z,"MULTIPOLYGON (((27.3039 39.5515,28.3526 42.1492,29.4858 44.7424,30.7169 47.3241,32.0645 49.8926,31.1539 50.0992,30.2322 50.2953,29.308 50.4856,28.3863 50.6647,27.4481 50.8401,26.5017 51.0083,25.5338 51.1699,24.5747 51.3224,23.6078 51.4672,22.6468 51.6097,21.6692 51.7359,20.6906 51.8561,19.6898 51.9706,18.6903 52.0752,17.6914 52.1709,16.6942 52.2576,15.6877 52.3364,14.6726 52.407,13.6779 52.4609,13.2814 49.8409,12.879 47.2193,12.471 44.5964,12.0577 41.977,12.8855 41.9067,13.7213 41.8229,14.5339 41.7354,15.3485 41.6418,16.1665 41.5417,16.9816 41.4359,17.8041 41.3222,18.6144 41.2046,19.4203 41.0842,20.2202 40.9492,21.0218 40.8148,21.8182 40.6754,22.6242 40.5292,23.413 40.379,24.2001 40.2231,24.9726 40.0661,25.7529 39.8996,26.529 39.7305,27.3039 39.5515)))",979785669.0,False
